,ad_id,spend,date
0,553008,31.14,2021-07-25
1,675684,33.84,2021-08-11
2,694011,33.4,2021-07-18
3,749456,90.36,2021-07-25
4,510049,29.32,2021-08-14
5,960863,31.44,2021-08-05
6,897438,77.86,2021-06-28
7,284601,52.89,2021-08-03
8,881356,97.28,2021-07-11
9,175566,13.01,2021-08-28
10,615396,45.88,2021-08-06
11,163669,34.81,2021-06-20
12,128197,41.17,2021-06-06
13,795270,68.3,2021-06-14
14,114397,56.42,2021-08-28
15,603544,55.55,2021-06-19
16,731775,52.25,2021-07-10
17,304699,93.47,2021-08-30
18,265333,17.22,2021-07-15
19,703531,43.73,2021-08-20
20,575651,26.76,2021-07-20
21,497399,64.04,2021-07-25
22,561357,16.73,2021-07-01
23,116134,97.19,2021-06-08
24,951054,80.78,2021-08-07
25,701860,44.09,2021-07-12
26,304153,42.73,2021-08-23
27,967934,27.11,2021-06-30
28,514012,25.61,2021-06-21
29,746883,75.68,2021-06-05
30,891269,55.04,2021-07-16
31,772813,49.09,2021-08-25
32,776628,70.25,2021-08-14
33,222876,45.4,2021-06-20
34,799221,85.24,2021-06-20
35,478973,71.65,2021-07-09
36,766529,57.24,2021-08-16
37,508816,49.68,2021-06-05
38,937467,36.12,2021-07-16
39,919872,72.2,2021-08-12
40,184800,13.21,2021-07-12
41,585341,99.48,2021-07-03
42,163702,25.62,2021-08-24
43,203699,28.39,2021-06-08
44,780783,37.48,2021-06-21
45,690589,92.74,2021-07-31
46,314811,76.33,2021-07-13
47,668223,47.65,2021-08-09
48,951068,92.55,2021-06-22
49,880744,96.8,2021-06-26
50,726974,39.83,2021-07-19
51,254149,17.63,2021-08-17
52,170835,73.23,2021-07-05
53,100144,41.76,2021-07-30
54,608870,5.07,2021-06-06
55,756188,20.98,2021-06-06
56,399156,50.64,2021-06-19
57,465073,6.79,2021-08-10
58,494291,48.29,2021-06-02
59,429594,38.91,2021-08-07
60,544451,8.54,2021-07-23
61,361764,64.5,2021-06-05
62,720098,47.26,2021-08-27
63,405266,35.28,2021-06-06
64,284712,16.57,2021-08-24
65,680622,70.74,2021-08-19
66,899224,41.68,2021-08-08
67,787601,93.32,2021-06-25
68,622452,73.74,2021-08-01
69,554440,52.39,2021-06-07
70,243460,25.04,2021-06-23
71,580801,43.74,2021-08-05
72,101943,71.39,2021-07-19
73,733045,33.06,2021-08-27
74,911301,88.05,2021-06-10
75,215087,5.77,2021-06-22
76,696075,59.65,2021-06-01
77,632709,90.05,2021-08-06
78,161413,6.05,2021-08-06
79,436313,33.63,2021-08-04
80,431405,6.44,2021-07-27
81,748266,65.79,2021-08-14
82,457450,95.35,2021-06-16
83,316903,4.85,2021-07-31
84,914174,51.12,2021-06-30
85,896942,4.7,2021-06-24
86,169180,76.74,2021-07-19
87,770057,20.46,2021-06-14
88,163517,12.97,2021-07-08
89,709014,86.06,2021-07-26
90,183196,87.87,2021-07-26
91,351631,67.2,2021-08-14
92,376430,1.07,2021-06-30
93,916790,4.27,2021-07-20
94,952461,53.18,2021-08-09
95,521466,15.68,2021-06-12
96,262398,74.67,2021-06-11
97,449188,0.71,2021-06-04
98,203190,23.5,2021-08-05
99,634005,67.24,2021-08-24
100,559285,60.89,2021-06-05
101,523420,40.86,2021-06-30
102,380812,4.31,2021-07-12
103,308079,0.73,2021-08-27
104,165777,33.01,2021-06-09
105,542832,25.0,2021-06-06
106,706755,85.75,2021-07-05
107,691088,61.63,2021-06-28
108,230461,35.43,2021-08-01
109,564712,45.57,2021-06-01
110,392901,73.19,2021-07-10
111,796207,0.34,2021-08-29
112,264983,47.42,2021-07-06
113,811933,85.49,2021-06-28
114,927237,50.66,2021-06-11
115,484312,78.11,2021-06-12
116,695582,68.99,2021-08-20
117,184502,54.23,2021-06-24
118,173273,38.1,2021-06-21
119,837480,16.0,2021-06-24
120,401708,56.3,2021-07-22
121,982692,40.17,2021-08-06
122,568868,34.69,2021-08-26
123,210038,98.02,2021-08-21
124,351884,47.26,2021-07-23
125,298517,49.7,2021-07-13
126,382248,1.75,2021-06-21
127,222413,98.75,2021-06-18
128,485508,35.93,2021-08-25
129,651781,76.17,2021-07-09
130,952650,75.74,2021-08-29
131,208355,89.34,2021-07-30
132,863639,67.74,2021-08-22
133,352239,99.02,2021-07-25
134,553290,82.11,2021-07-05
135,683906,61.31,2021-06-13
136,229624,2.64,2021-07-22
137,810767,9.12,2021-06-27
138,240661,5.25,2021-07-10
139,472653,55.28,2021-08-15
140,781206,68.37,2021-06-09
141,655271,57.53,2021-08-28
142,868185,70.7,2021-07-17
143,793976,96.08,2021-08-13
144,507035,35.01,2021-08-25
145,864446,36.93,2021-08-25
146,105744,42.53,2021-08-14
147,310744,38.08,2021-06-22
148,405561,6.76,2021-06-23
149,675139,76.82,2021-07-14
150,294171,34.61,2021-06-02
151,421954,93.28,2021-06-05
152,125174,39.6,2021-06-25
153,162006,90.41,2021-06-09
154,879359,97.28,2021-08-16
155,513447,98.54,2021-06-03
156,591623,38.57,2021-07-19
157,941915,68.52,2021-07-02
158,424627,23.08,2021-06-22
159,815530,72.02,2021-06-02
160,540139,27.9,2021-07-16
161,486836,49.99,2021-07-19
162,352598,51.78,2021-06-25
163,443730,50.99,2021-06-03
164,296188,24.37,2021-06-22
165,844978,79.48,2021-06-01
166,345423,62.47,2021-08-30
167,260276,76.75,2021-06-19
168,211042,40.37,2021-07-30
169,811580,78.82,2021-06-03
170,584681,8.18,2021-06-21
171,741166,45.29,2021-06-08
172,489323,26.82,2021-07-27
173,119973,7.83,2021-08-30
174,141342,51.18,2021-08-01
175,638698,24.29,2021-07-22
176,629326,32.82,2021-07-29
177,526811,20.84,2021-08-26
178,370508,19.08,2021-06-24
179,986411,15.03,2021-06-23
180,613579,42.16,2021-08-06
181,151180,83.96,2021-06-04
182,112068,24.71,2021-06-30
183,119459,86.02,2021-07-14
184,864270,15.55,2021-08-30
185,803386,79.94,2021-06-23
186,590933,96.85,2021-06-29
187,859567,46.27,2021-07-20
188,207586,46.74,2021-06-06
189,435176,67.12,2021-07-21
190,973837,63.32,2021-07-16
191,973737,70.78,2021-06-18
192,605749,16.19,2021-07-12
193,468133,33.55,2021-06-01
194,265468,98.4,2021-06-11
195,708349,23.63,2021-07-27
196,100020,63.74,2021-07-02
197,616289,84.11,2021-07-05
198,452928,27.9,2021-07-09
199,622475,18.2,2021-08-01
200,610803,15.89,2021-07-07
201,281490,32.16,2021-07-11
202,418541,39.39,2021-08-09
203,453479,7.31,2021-06-03
204,424622,96.67,2021-06-09
205,653001,66.65,2021-08-22
206,184975,24.93,2021-06-06
207,884367,33.85,2021-08-23
208,866671,18.23,2021-08-06
209,937135,10.86,2021-08-04
210,266396,66.07,2021-08-15
211,804275,8.14,2021-08-21
